# kernel
FlushCache 0x53BA20
CLoadingScreen_m_currDisplayedSplash 0x668C90
CLoadingScreen_m_bFadeOutCurrSplashToBlack 0x66CAB8
CLoadingScreen_m_bFading 0x66CAAC
CLoadingScreen_m_FadeAlpha 0x66CABC
CLoadingScreen_m_bFadeInNextSplashFromBlack 0x66CAB4
CLoadingScreen_StartFading 0x5931C0

flt_66CAC0 0x66CAC0
flt_66CAD0 0x66CAD0
flt_66CAD4 0x66CAD4

byte_66CAD8 0x66CAD8

CLoadingScreen_DisplayNextSplash 0x592D10
AudioEngine 0x889C80
CAudioEngine_ServiceLoadingTune 0x580920

TheText 0x69F290

CSprite2d_DrawRect 0x2B2090
CSprite2d_DrawTextureRect 0x2B0960
MenuInUse 0x66C848
CMessages_InsertNumberInString 0x18C470
CMenuSystem_CreateNewMenu 0x52BF80
CMenuSystem_SwitchOffMenu 0x52C340
Render2dStuff 0x246F60
Render2dStuffAfterFade 0x247270
CPlantMgr_Render 0x489380
CPed_PreRenderAfterTest 0x19A740
CRadar_DrawBlips 0x268080
CWanted_SetPursuitCop 0x27D7E0
CGeneral_LimitRadianAngle 0x245130
CAudioEngine_GetCutsceneTrackStatus 0x581300
CAEVehicleAudioEntity_StaticGetPlayerVehicleAudioSettingsForRadio 0x56F160
CAERadioTrackManager_StopRadio 0x5653B0
CAudioEngine_ReportFrontendAudioEvent 0x580D70
CAERadioTrackManager_StartRadio 0x564FC0
CAERadioTrackManager_DisplayRadioStationName 0x565E00
RightStickSensValue 0x665204
dword_7C3298 0x7C3298
CHud_m_VehicleState 0x66BC58
CHud_m_ZoneState 0x66BC14
_StyledText_3 0x7C2990
CPostEffects_m_bGrainEnable 0x66C70C
grainLevel 0x6684E4
displayHUD 0x6FF965
radarMode 0x6FF968
CHud_DrawGangOverlay 0x26E830
FrontEndMenuManager_m_nTargetBlipIndex 0x6FF970
PreRenderWater 0x182130
CPathFind_DoPathSearch 0x1E5930
ThePaths 0x6A6180
CTheScripts_IsPlayerOnAMission 0x1FA3E0
CSprite2d_SetMaskVertices 0x2B1FD0
CSprite2d_maVertices 0x7C32F0
skyRasterExt 0x66C208
skyFrame_1 0x667928
_rwDMAWaitQueue 0x34FA18
skyZbuf_1 0x667920

CTaskSimpleDie_Constructor 0x419400
CTaskSimpleDie_Constructor0 0x4194B0
CTaskSimpleDie_Constructor1 0x419590

CCamera__setZoomFactors 0x226AF0

CShadows_StoreShadowToBeRenderedSingle 0x1141D0
CShadows_AddPermanentShadow 0x113560

CShadows_pEmptyBunchList 0x66B234

ShadowIndexList 0x685500

CSimpleTransform_UpdateMatrix 0x25FAC0
CPlaceable_AllocateMatrix 0x260090

gFireManager 0x7C09B0

StartFireEntity 0x29D310
GetNumFiresInRange 0x29F500
CWeapon_Fire 0x133AE0
CCamera_Find3rdPersonCamTargetVector 0x21AA90
CPed_Render 0x19B990

RwStreamOpen 0x337F40
RwStreamClose 0x337FF0
RwStreamRead 0x337A48
RwStreamFindChunk 0x3329D8
RpClumpStreamRead 0x378628
ClumpGetFirstAtomic 0x1106C0
AtomicDefaultRenderCallBack 0x379088

RwFrameRotate 0x33F110
RwFrameScale 0x33F018
RwV3dTransformPoints 0x339020
RwFrameUpdateObjects 0x33F880
RpClumpRender 0x379388
GetAnimHierarchyFromSkinClump 0x110C80
RpHAnimHierarchyGetMatrixArray 0x39E520
RpHAnimIDGetIndex 0x39E528

RwFrameTranslate 0x33F090
RwFrameSetIdentity 0x33F310

CEntity_Render 0x231360

RwMatrixTranslate 0x334E70
RwMatrixRotate 0x3353C8
RwMatrixUpdate 0x3354E0
RwFrameTransform 0x33F210

RpClumpDestroy 0x377BA0
CGameLogic_GameState 0x66BBA4

ms_apProjectile 0x687020
gaProjectileInfo 0x686BA0
srand 0x550230
